Time Stamp|SSID|BSSID|RSSI
2018-10-07 10:08:25.768|Kate Wifi|6c:b7:49:29:96:56|-94
2018-10-07 10:08:25.768|OPTUS_07D7EE|7c:26:64:07:d7:ef|-94
2018-10-07 10:08:25.768|BigPond4EC9|10:0d:7f:da:8e:d9|-94
2018-10-07 10:08:25.768|OPTUS_8090D7|18:90:d8:80:90:d8|-89
Time Stamp|SSID|BSSID|RSSI
2018-10-07 10:28:25.947|WiFi-7TRU|a4:ca:a0:57:da:10|-58
2018-10-07 10:28:25.947|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-71
2018-10-07 10:28:25.947|TelstraF28877|24:20:c7:f2:88:7d|-88
2018-10-07 10:28:25.947|TelstraC083BD|f4:6b:ef:c0:83:c3|-88
2018-10-07 10:28:25.947|WiFi-85B8|c4:71:54:d8:85:b8|-91
2018-10-07 10:28:25.947|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 10:28:25.947|Kate Wifi|6c:b7:49:29:96:56|-92
2018-10-07 10:28:25.947|TPG-9PYF|c4:05:28:f9:ca:44|-93
2018-10-07 10:28:25.947|Fon WiFi|f6:6b:ef:c0:83:c1|-85
2018-10-07 10:28:25.947|Telstra Air|f6:6b:ef:c0:83:c0|-88
2018-10-07 10:28:25.947|OPTUS_07D7EE|7c:26:64:07:d7:ef|-88
2018-10-07 10:28:25.947|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-93
2018-10-07 10:28:25.947|BigPond4EC9|10:0d:7f:da:8e:d9|-94
Time Stamp|SSID|BSSID|RSSI
2018-10-07 10:40:55.497|WiFi-7TRU|a4:ca:a0:57:da:10|-56
2018-10-07 10:40:55.497|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-73
2018-10-07 10:40:55.497|WiFi-85B8|c4:71:54:d8:85:b8|-83
2018-10-07 10:40:55.497|TelstraC083BD|f4:6b:ef:c0:83:c3|-90
2018-10-07 10:40:55.497|D-Link|a0:ab:1b:cd:f6:06|-90
2018-10-07 10:40:55.497|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-90
2018-10-07 10:40:55.497|BigPond4EC9|10:0d:7f:da:8e:d9|-89
2018-10-07 10:40:55.497|TPG-9PYF|c4:05:28:f9:ca:44|-92
2018-10-07 10:40:55.497|OPTUS_8090D7|18:90:d8:80:90:d8|-92
2018-10-07 10:40:55.497|Fon WiFi|f6:6b:ef:c0:83:c1|-87
2018-10-07 10:40:55.497|Telstra Air|f6:6b:ef:c0:83:c0|-90
2018-10-07 10:40:55.497|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-88
2018-10-07 10:40:55.497|TelstraF28877|24:20:c7:f2:88:7d|-90
2018-10-07 10:40:55.497|Apxl|ec:08:6b:93:ac:ba|-92
Time Stamp|SSID|BSSID|RSSI
2018-10-07 10:50:55.006|WiFi-7TRU|a4:ca:a0:57:da:10|-56
2018-10-07 10:50:55.006|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-71
2018-10-07 10:50:55.006|WiFi-85B8|c4:71:54:d8:85:b8|-82
2018-10-07 10:50:55.006|TelstraF28877|24:20:c7:f2:88:7d|-87
2018-10-07 10:50:55.006|TelstraC083BD|f4:6b:ef:c0:83:c3|-89
2018-10-07 10:50:55.006|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-89
2018-10-07 10:50:55.006|TPG-9PYF|c4:05:28:f9:ca:44|-87
2018-10-07 10:50:55.006|BigPond4EC9|10:0d:7f:da:8e:d9|-90
2018-10-07 10:50:55.006|Fon WiFi|f6:6b:ef:c0:83:c1|-87
2018-10-07 10:50:55.006|Telstra Air|f6:6b:ef:c0:83:c0|-83
2018-10-07 10:50:55.006|OPTUS_8090D7|18:90:d8:80:90:d8|-90
2018-10-07 10:50:55.006|Apxl|ec:08:6b:93:ac:ba|-92
2018-10-07 10:50:55.006|Fon WiFi|12:da:43:53:da:da|-95
Time Stamp|SSID|BSSID|RSSI
2018-10-07 11:10:54.604|WiFi-7TRU|a4:ca:a0:57:da:10|-63
2018-10-07 11:10:54.604|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-69
2018-10-07 11:10:54.604|WiFi-85B8|c4:71:54:d8:85:b8|-82
2018-10-07 11:10:54.604|TelstraF28877|24:20:c7:f2:88:7d|-88
2018-10-07 11:10:54.604|TelstraC083BD|f4:6b:ef:c0:83:c3|-87
2018-10-07 11:10:54.604|OPTUS_8090D7|18:90:d8:80:90:d8|-89
2018-10-07 11:10:54.604|D-Link|a0:ab:1b:cd:f6:06|-89
2018-10-07 11:10:54.604|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 11:10:54.604|BigPond4EC9|10:0d:7f:da:8e:d9|-89
2018-10-07 11:10:54.604|OPTUS_07D7EE|7c:26:64:07:d7:ef|-94
2018-10-07 11:10:54.604|Telstra Air|f6:6b:ef:c0:83:c0|-83
2018-10-07 11:10:54.604|Fon WiFi|f6:6b:ef:c0:83:c1|-85
2018-10-07 11:10:54.604|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 11:10:54.604|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-89
Time Stamp|SSID|BSSID|RSSI
2018-10-07 11:20:55.094|WiFi-7TRU|a4:ca:a0:57:da:10|-61
2018-10-07 11:20:55.094|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-76
2018-10-07 11:20:55.094|WiFi-85B8|c4:71:54:d8:85:b8|-80
2018-10-07 11:20:55.094|TelstraF28877|24:20:c7:f2:88:7d|-83
2018-10-07 11:20:55.094|OPTUS_8090D7|18:90:d8:80:90:d8|-86
2018-10-07 11:20:55.094|TelstraC083BD|f4:6b:ef:c0:83:c3|-89
2018-10-07 11:20:55.094|TPG-9PYF|c4:05:28:f9:ca:44|-91
2018-10-07 11:20:55.094|Telstra Air|f6:6b:ef:c0:83:c0|-85
2018-10-07 11:20:55.094|Fon WiFi|f6:6b:ef:c0:83:c1|-86
2018-10-07 11:20:55.094|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-93
Time Stamp|SSID|BSSID|RSSI
2018-10-07 11:35:54.789|WiFi-7TRU|a4:ca:a0:57:da:10|-56
2018-10-07 11:35:54.789|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-72
2018-10-07 11:35:54.789|WiFi-85B8|c4:71:54:d8:85:b8|-81
2018-10-07 11:35:54.789|TelstraF28877|24:20:c7:f2:88:7d|-84
2018-10-07 11:35:54.789|TelstraC083BD|f4:6b:ef:c0:83:c3|-86
2018-10-07 11:35:54.789|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-87
2018-10-07 11:35:54.789|OPTUS_8090D7|18:90:d8:80:90:d8|-89
2018-10-07 11:35:54.789|BigPond4EC9|10:0d:7f:da:8e:d9|-89
2018-10-07 11:35:54.789|TPG-9PYF|c4:05:28:f9:ca:44|-88
2018-10-07 11:35:54.789|Fon WiFi|f6:6b:ef:c0:83:c1|-87
2018-10-07 11:35:54.789|Telstra Air|f6:6b:ef:c0:83:c0|-85
2018-10-07 11:35:54.789|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-92
Time Stamp|SSID|BSSID|RSSI
2018-10-07 11:50:54.753|WiFi-7TRU|a4:ca:a0:57:da:10|-55
2018-10-07 11:50:54.753|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-69
2018-10-07 11:50:54.753|WiFi-85B8|c4:71:54:d8:85:b8|-82
2018-10-07 11:50:54.753|OPTUS_8090D7|18:90:d8:80:90:d8|-84
2018-10-07 11:50:54.753|TelstraF28877|24:20:c7:f2:88:7d|-87
2018-10-07 11:50:54.753|BigPond4EC9|10:0d:7f:da:8e:d9|-90
2018-10-07 11:50:54.753|TPG-9PYF|c4:05:28:f9:ca:44|-89
2018-10-07 11:50:54.753|TelstraC083BD|f4:6b:ef:c0:83:c3|-88
2018-10-07 11:50:54.753|Telstra Air|f6:6b:ef:c0:83:c0|-87
